OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
13,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
14,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
15,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
16,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
17,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
18,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
19,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
20,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
21,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
22,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
23,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
24,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
25,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
26,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
27,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
28,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
29,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
30,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
1,Ahmed Farah,OH,6.25,Carpet,10.00,2.25,2.10,22.50,21.00,2.72,46.22,
31,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
32,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
33,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
34,Ahmed,OH,10.00,Carpet,10.00,5.00,10.00,50.00,100.00,15.00,165.00,
